Dataset,TIR Mean (%),TIR Std (%),TIR Range (%),Avg BG Mean (mg/dL),Avg BG Std (mg/dL),Avg BG Range (mg/dL),GV Mean,GV Std,GV Range
OhioT1DM,63.2,20.7,"0-100",160.08,31.09,"99.4-277.6",31.45,8.47,"11.66-57.18"
T1DEXI,74.69,19.98,"0-100",146.11,32.06,"66.4-365.9",29.18,8.43,"6.58-79.97"
BIG IDEAs,97.66,3.8,"79.09-100",114.05,11.55,"86.2-135.5",16.54,5.16,"5.26-37.75"
DiaTrend,50.74,22.43,"0-100",186.48,41.2,"70.8-397.2",32.02,8.73,"3.22-91.34"
ShanghaiT1DM,53.38,22.61,"0-100",165.04,42.89,"57.2-257.1",33.28,10.37,"12.9-78.28"
ShanghaiT2DM,79.21,21.89,"0-100",139.89,33.88,"40.6-285.9",24.72,7.78,"6.4-55.76"
T1DiabetesGranada,59.89,23.31,"0-100",164.09,42.05,"48.9-493.7",32.68,10.01,"3.25-101.11"
AI-READI v2,86.43,22.35,"0-100",137.48,35.72,"62.9-372.9",17.72,6.26,"5.2-60.08"
UCHTT1DM,86.47,16.7,"26.83-100",110.56,30.81,"71.3-200.8",21.15,11.62,"6.58-62.6"
CGMacros,85.34,20.92,"0-100",141.14,29.44,"88.6-257.1",18.69,6.43,"7.08-42.25"
