Dataset,Range,Zero-order Hold Mean,Zero-order Hold Std,Simple Linear Regression Mean,Simple Linear Regression Std
OhioT1DM,Overall,23.27,2.92,28.08,4.8
OhioT1DM,<70 mg/dL,16.95,3.67,19.88,6.92
OhioT1DM,70-180 mg/dL,21.14,2.75,25.38,4.61
OhioT1DM,>180 mg/dL,27.58,4.89,32.69,8.31
T1DEXI,Overall,24.03,5.38,29.8,6.28
T1DEXI,<70 mg/dL,29.04,9.79,30.99,11.29
T1DEXI,70-180 mg/dL,22.17,4.71,28.37,5.8
T1DEXI,>180 mg/dL,30.6,6.73,35.05,7.81
BIG IDEAs,Overall,16.11,2.72,23.86,3.91
BIG IDEAs,<70 mg/dL,27.3,14.24,45.07,29.46
BIG IDEAs,70-180 mg/dL,15.2,2.16,23.17,3.86
BIG IDEAs,>180 mg/dL,43.74,7.33,43.53,15.51
DiaTrend,Overall,28.14,4.96,35.0,5.29
DiaTrend,<70 mg/dL,30.73,8.81,33.45,9.49
DiaTrend,70-180 mg/dL,24.99,4.38,31.76,5.13
DiaTrend,>180 mg/dL,31.82,5.27,38.86,5.49
ShanghaiT1DM,Overall,20.58,3.39,21.7,3.2
ShanghaiT1DM,<70 mg/dL,14.78,10.32,14.65,5.96
ShanghaiT1DM,70-180 mg/dL,19.06,4.9,19.79,4.34
ShanghaiT1DM,>180 mg/dL,24.1,4.05,24.92,4.44
ShanghaiT2DM,Overall,17.51,4.04,19.82,4.48
ShanghaiT2DM,<70 mg/dL,13.85,7.11,15.34,8.21
ShanghaiT2DM,70-180 mg/dL,15.05,3.46,17.44,4.43
ShanghaiT2DM,>180 mg/dL,28.39,9.2,31.0,9.97
T1DiabetesGranada,Overall,24.81,5.17,28.08,5.7
T1DiabetesGranada,<70 mg/dL,19.3,7.32,22.24,8.39
T1DiabetesGranada,70-180 mg/dL,23.14,5.15,26.82,6.04
T1DiabetesGranada,>180 mg/dL,28.81,5.55,31.45,5.99
AI-READI v2,Overall,19.16,4.96,30.67,7.06
AI-READI v2,<70 mg/dL,33.86,19.62,42.96,25.08
AI-READI v2,70-180 mg/dL,17.34,6.45,28.85,8.16
AI-READI v2,>180 mg/dL,40.41,15.76,47.8,17.17
UCHTT1DM,Overall,19.28,7.1,30.41,4.0
UCHTT1DM,<70 mg/dL,21.9,6.35,28.33,8.37
UCHTT1DM,70-180 mg/dL,18.2,6.27,29.63,4.03
UCHTT1DM,>180 mg/dL,31.56,9.21,37.8,6.71
CGMacros_Dexcom,Overall,19.9,4.68,30.59,5.64
CGMacros_Dexcom,<70 mg/dL,33.75,18.9,45.66,24.76
CGMacros_Dexcom,70-180 mg/dL,16.88,2.6,27.68,5.13
CGMacros_Dexcom,>180 mg/dL,41.75,11.9,48.81,12.87
