dataset,Overall (rmse),< 70 (rmse),70 - 180 (rmse),> 180 (rmse),Overall (mae),< 70 (mae),70 - 180 (mae),> 180 (mae),CEG_zoneA,CEG_zoneB,CEG_zoneC,CEG_zoneD,CEG_zoneE
8_T1DiabetesGranada,59.98 (13.89),52.93 (20.5),56.8 (14.46),67.11 (13.76),43.23 (10.1),36.26 (15.03),40.42 (10.36),50.55 (10.9),53.96 (7.55),37.78 (5.62),5.13 (2.93),2.24 (1.16),0.88 (0.73)
11_CGMacros,51.99 (11.58),63.2 (31.89),46.61 (8.3),82.79 (14.21),35.08 (8.14),55.35 (32.45),30.85 (5.39),70.82 (13.77),57.46 (6.13),37.58 (5.13),3.93 (2.16),0.84 (1.04),0.19 (0.22)
5_Diatrend,67.66 (12.64),65.84 (22.59),61.24 (12.4),75.04 (12.73),48.03 (9.31),45.87 (16.68),42.49 (8.93),55.47 (10.09),52.6 (7.82),37.63 (6.1),6.56 (2.68),1.98 (0.9),1.23 (0.71)
9_AI-READI,48.13 (12.86),57.88 (43.37),44.76 (12.7),76.31 (22.56),33.49 (8.69),49.67 (40.9),30.9 (9.29),65.09 (21.47),57.69 (8.79),38.25 (7.66),3.18 (2.33),0.67 (1.01),0.22 (0.4)
6_ShanghaiT1DM,48.94 (9.8),34.29 (14.92),43.54 (13.19),58.01 (15.57),34.27 (6.55),26.16 (11.91),30.34 (9.43),43.84 (13.0),63.72 (6.76),30.6 (5.39),3.13 (1.69),2.21 (0.96),0.34 (0.43)
1_OhioT1DM,55.69 (8.11),45.53 (17.93),52.46 (10.04),61.86 (11.42),39.48 (5.63),33.0 (14.75),37.03 (7.22),45.46 (8.23),55.62 (8.0),38.26 (6.35),4.41 (1.84),1.23 (0.57),0.48 (0.27)
4_BIG_IDEA_LAB,41.97 (7.5),50.03 (26.4),40.82 (6.81),81.9 (16.66),28.41 (5.26),42.13 (22.84),27.53 (4.77),75.16 (15.82),58.02 (6.4),39.25 (5.73),2.35 (1.19),0.36 (0.67),0.03 (0.08)
10_UCHTT1DM,45.81 (16.63),47.71 (18.86),44.34 (14.8),70.64 (20.91),33.32 (12.84),35.28 (16.4),32.24 (11.04),54.28 (17.53),51.3 (8.07),43.19 (6.29),2.74 (3.37),2.3 (2.33),0.47 (0.74)
7_ShanghaiT2DM,42.58 (11.05),28.89 (19.49),36.41 (10.16),65.76 (18.71),29.53 (7.82),23.32 (17.0),25.04 (6.99),54.37 (17.55),63.66 (9.73),32.58 (8.17),2.44 (1.94),1.15 (1.21),0.17 (0.26)
2_T1DEXI,59.46 (14.23),65.05 (26.69),56.31 (13.45),70.64 (16.82),42.35 (10.33),47.85 (20.91),39.66 (9.57),53.64 (13.62),50.54 (8.4),41.91 (6.27),5.02 (2.86),1.7 (1.08),0.83 (0.74)
