dataset,Overall (rmse),< 70 (rmse),70 - 180 (rmse),> 180 (rmse),Overall (mae),< 70 (mae),70 - 180 (mae),> 180 (mae),CEG_zoneA,CEG_zoneB,CEG_zoneC,CEG_zoneD,CEG_zoneE
8_T1DiabetesGranada,24.81 (5.17),19.3 (7.32),23.14 (5.15),28.81 (5.55),17.79 (3.72),12.74 (5.2),16.6 (3.65),21.35 (4.3),82.43 (5.94),15.63 (5.01),0.12 (0.23),1.82 (1.22),0.01 (0.02)
11_CGMacros,19.9 (4.68),33.75 (18.9),16.88 (2.6),41.75 (11.9),13.16 (3.24),30.24 (18.57),11.33 (1.88),34.18 (13.02),87.64 (3.99),11.94 (3.75),0.02 (0.06),0.39 (0.41),0.0 (0.02)
5_Diatrend,28.14 (4.96),30.73 (8.81),24.99 (4.38),31.82 (5.27),20.23 (3.57),23.2 (7.67),17.97 (3.2),23.37 (4.02),81.24 (5.8),17.26 (4.98),0.17 (0.21),1.3 (0.88),0.02 (0.03)
9_AI-READI,19.16 (4.96),33.86 (19.62),17.34 (6.45),40.41 (15.76),13.11 (3.38),30.23 (19.63),12.07 (5.81),33.61 (15.73),87.47 (5.82),12.02 (5.35),0.03 (0.17),0.47 (1.31),0.0 (0.02)
6_ShanghaiT1DM,20.58 (3.39),14.78 (10.32),19.06 (4.9),24.1 (4.05),14.83 (2.67),12.24 (10.92),13.77 (3.61),18.14 (3.04),87.61 (5.76),10.52 (4.6),0.03 (0.08),1.84 (1.46),0.0 (0.0)
1_OhioT1DM,23.27 (2.92),16.95 (3.67),21.14 (2.75),27.58 (4.89),16.95 (2.11),13.33 (3.34),15.54 (2.11),20.48 (3.77),83.07 (6.16),15.57 (5.38),0.02 (0.03),1.34 (0.85),0.0 (0.0)
4_BIG_IDEA_LAB,16.11 (2.72),27.3 (14.24),15.2 (2.16),43.74 (7.33),10.57 (1.87),22.28 (10.7),10.14 (1.66),36.33 (7.73),87.64 (3.71),11.95 (3.59),0.0 (0.0),0.41 (0.76),0.0 (0.0)
10_UCHTT1DM,19.28 (7.1),21.9 (6.35),18.2 (6.27),31.56 (9.21),13.81 (5.65),16.84 (5.94),13.04 (4.95),24.3 (6.68),80.04 (7.44),16.84 (6.57),0.04 (0.09),3.08 (2.49),0.0 (0.0)
7_ShanghaiT2DM,17.51 (4.04),13.85 (7.11),15.05 (3.46),28.39 (9.2),12.26 (2.94),11.49 (6.55),10.69 (2.57),22.16 (7.93),89.69 (5.79),9.47 (5.16),0.0 (0.02),0.83 (1.11),0.0 (0.0)
2_T1DEXI,24.03 (5.38),29.04 (9.79),22.17 (4.71),30.6 (6.73),17.27 (3.93),22.48 (8.48),15.96 (3.46),22.9 (5.42),80.33 (6.55),17.61 (5.62),0.09 (0.16),1.96 (1.38),0.02 (0.04)
