dataset,Overall,< 70,70 - 180,> 180
5_Diatrend,35.0 (5.29),33.45 (9.49),31.76 (5.13),38.86 (5.49)
9_AI-READI,30.67 (7.06),42.96 (25.08),28.85 (8.16),47.8 (17.17)
8_T1DiabetesGranada,28.08 (5.7),22.24 (8.39),26.82 (6.04),31.45 (5.99)
2_T1DEXI,29.8 (6.28),30.99 (11.29),28.37 (5.8),35.05 (7.81)
6_ShanghaiT1DM,21.7 (3.2),14.65 (5.96),19.79 (4.34),24.92 (4.44)
4_BIG_IDEA_LAB,23.86 (3.91),45.07 (29.46),23.17 (3.86),43.53 (15.51)
1_OhioT1DM,28.08 (4.8),19.88 (6.92),25.38 (4.61),32.69 (8.31)
7_ShanghaiT2DM,19.82 (4.48),15.34 (8.21),17.44 (4.43),31.0 (9.97)
10_UCHTT1DM,30.41 (4.0),28.33 (8.37),29.63 (4.03),37.8 (6.71)
11_CGMacros,30.59 (5.64),45.66 (24.76),27.68 (5.13),48.81 (12.87)
