dataset,Overall,< 70,70 - 180,> 180
5_Diatrend,28.14 (4.96),30.73 (8.81),24.99 (4.38),31.82 (5.27)
9_AI-READI,19.16 (4.96),33.86 (19.62),17.34 (6.45),40.41 (15.76)
8_T1DiabetesGranada,24.81 (5.17),19.3 (7.32),23.14 (5.15),28.81 (5.55)
2_T1DEXI,24.03 (5.38),29.04 (9.79),22.17 (4.71),30.6 (6.73)
6_ShanghaiT1DM,20.58 (3.39),14.78 (10.32),19.06 (4.9),24.1 (4.05)
4_BIG_IDEA_LAB,16.11 (2.72),27.3 (14.24),15.2 (2.16),43.74 (7.33)
1_OhioT1DM,23.27 (2.92),16.95 (3.67),21.14 (2.75),27.58 (4.89)
7_ShanghaiT2DM,17.51 (4.04),13.85 (7.11),15.05 (3.46),28.39 (9.2)
10_UCHTT1DM,19.28 (7.1),21.9 (6.35),18.2 (6.27),31.56 (9.21)
11_CGMacros,19.9 (4.68),33.75 (18.9),16.88 (2.6),41.75 (11.9)
